nr,real,scatter,polyhedron,symm,theta,phi,alpha,size,stretch,axis
211,./real/1/211r.png,./scatter/1/211s.png,Octahedron,O_h,2.12324,-2.94482,-2.15012,0.736689,0.894097,C4
212,./real/1/212r.png,./scatter/1/212s.png,Snub Cube,O,2.56715,1.01748,-0.589745,0.844417,0.858016,C2
213,./real/1/213r.png,./scatter/1/213s.png,Sphere,SO(3),0,0,0,0.55248,1.72689,{-0.361522,-0.371211,0.85528}
214,./real/1/214r.png,./scatter/1/214s.png,Rhombicuboctahedron,O_h,1.61229,-0.0607061,-1.5158,0.478063,1.90132,C4
215,./real/1/215r.png,./scatter/1/215s.png,Potato,None,0.914741,1.29495,0.745403,0.73233,,
216,./real/1/216r.png,./scatter/1/216s.png,Tetrahedron,T_d,1.4057,-2.76288,-1.20863,0.823238,0.589078,C2
217,./real/1/217r.png,./scatter/1/217s.png,Tetrahedron,T_d,1.31785,-1.96521,2.57521,0.591189,1.69151,C2
218,./real/1/218r.png,./scatter/1/218s.png,Potato,None,1.56878,2.85896,-0.294573,0.351917,,
219,./real/1/219r.png,./scatter/1/219s.png,Snub Cube,O,2.68182,-1.40193,1.40044,0.864957,1.15613,C3
220,./real/1/220r.png,./scatter/1/220s.png,Truncated Dodecahedron,I_h,2.30958,-2.24685,2.66937,0.827962,0.707317,C3
221,./real/1/221r.png,./scatter/1/221s.png,Truncated Cuboctahedron,O_h,1.73628,0.531187,-2.61601,0.797927,0.806147,C4
222,./real/1/222r.png,./scatter/1/222s.png,Snub Cube,O,0.907692,0.608921,2.89124,0.231687,1.70687,C4
223,./real/1/223r.png,./scatter/1/223s.png,Cuboctahedron,O_h,1.95699,-1.95202,-0.536633,0.815705,1.22593,C2
224,./real/1/224r.png,./scatter/1/224s.png,Sphere,SO(3),0,0,0,0.688258,1.10798,{-0.192215,-0.97815,0.079226}
225,./real/1/225r.png,./scatter/1/225s.png,Truncated Cube,O_h,1.40759,1.19467,-2.51292,0.452658,1.72676,C3
226,./real/1/226r.png,./scatter/1/226s.png,Decahedron,D_5h,1.812,0.754642,-0.683523,0.219446,0.680357,C5
227,./real/1/227r.png,./scatter/1/227s.png,Snub Cube,O,1.27706,-2.4315,0.522695,0.78632,0.582296,C4
228,./real/1/228r.png,./scatter/1/228s.png,Sphere,SO(3),0,0,0,0.700855,1.42683,{0.241994,-0.260676,0.934605}
229,./real/1/229r.png,./scatter/1/229s.png,Truncated Icosahedron,I_h,2.74212,-0.36556,3.07567,0.784941,1.27398,C5
230,./real/1/230r.png,./scatter/1/230s.png,Rhombicuboctahedron,O_h,1.00037,0.736492,0.391329,0.388733,1.91127,C4
231,./real/1/231r.png,./scatter/1/231s.png,Tetrahedron,T_d,1.46154,1.49174,2.78695,0.832606,1.11101,C3
232,./real/1/232r.png,./scatter/1/232s.png,Cuboctahedron,O_h,1.4164,-2.25392,0.548316,0.375782,1.31691,C4
233,./real/1/233r.png,./scatter/1/233s.png,Truncated Tetrahedron,T_d,1.15733,1.13851,-2.9942,0.602648,0.946861,C2
234,./real/1/234r.png,./scatter/1/234s.png,Tetrahedron,T_d,2.15043,-2.98461,1.63201,0.952214,1.05018,C2
235,./real/1/235r.png,./scatter/1/235s.png,Cuboctahedron,O_h,2.38333,2.00986,-3.04579,0.504246,0.573093,C4
236,./real/1/236r.png,./scatter/1/236s.png,Truncated Rhombicosidodecahedron,I_h,1.5799,-1.00717,-1.88865,0.935958,0.837845,C2
237,./real/1/237r.png,./scatter/1/237s.png,Truncated Icosahedron,I_h,1.88055,2.48499,-1.02576,0.291454,0.591805,C5
238,./real/1/238r.png,./scatter/1/238s.png,Truncated Octahedron,O_h,1.77671,-3.08242,2.15205,0.615575,0.515354,C2
239,./real/1/239r.png,./scatter/1/239s.png,Truncated Rhombicosidodecahedron,I_h,2.29603,1.24337,-0.619341,0.774874,1.29053,C5
240,./real/1/240r.png,./scatter/1/240s.png,Truncated Icosahedron,I_h,1.09382,2.00351,2.14052,0.34365,1.06667,C3
241,./real/1/241r.png,./scatter/1/241s.png,Icosidodecahedron,I_h,2.41523,-2.31693,-0.606085,0.263053,1.78275,C5
242,./real/1/242r.png,./scatter/1/242s.png,Rhombicuboctahedron,O_h,2.08636,-2.55084,1.01992,0.60396,1.18443,C2
243,./real/1/243r.png,./scatter/1/243s.png,Dodecahedron,I_h,1.03805,0.524175,1.6658,0.351117,1.65408,C5
244,./real/1/244r.png,./scatter/1/244s.png,Truncated Cube,O_h,2.59264,2.28308,-1.01155,0.267313,1.25502,C3
245,./real/1/245r.png,./scatter/1/245s.png,Truncated Rhombicosidodecahedron,I_h,0.765034,1.7179,-2.82269,0.236027,1.62845,C2
246,./real/1/246r.png,./scatter/1/246s.png,Sphere,SO(3),0,0,0,0.561084,1.78226,{0.609169,-0.684033,-0.401263}
247,./real/1/247r.png,./scatter/1/247s.png,Decahedron,D_5h,1.0289,-2.36039,1.78959,0.987406,0.735985,C2
248,./real/1/248r.png,./scatter/1/248s.png,Truncated Dodecahedron,I_h,1.4695,-0.233571,0.476925,0.827089,1.20906,C3
249,./real/1/249r.png,./scatter/1/249s.png,Truncated Rhombicosidodecahedron,I_h,0.858095,0.229628,0.165044,0.866105,1.15459,C3
250,./real/1/250r.png,./scatter/1/250s.png,Decahedron,D_5h,0.559882,2.16724,-0.470815,0.392037,0.916673,C5
251,./real/1/251r.png,./scatter/1/251s.png,Rhombicuboctahedron,O_h,1.3147,-0.111934,-1.07214,0.404366,1.67447,C3
252,./real/1/252r.png,./scatter/1/252s.png,Tetrahedron,T_d,2.80206,1.93562,-2.64085,0.691875,0.928648,C2
253,./real/1/253r.png,./scatter/1/253s.png,Snub Cube,O,1.95131,-1.77627,-2.45095,0.628028,1.59229,C3
254,./real/1/254r.png,./scatter/1/254s.png,Truncated Cuboctahedron,O_h,0.357989,-2.21047,0.457613,0.341081,1.02578,C4
255,./real/1/255r.png,./scatter/1/255s.png,Icosidodecahedron,I_h,2.29502,3.0909,2.4532,0.99846,1.00154,C3
256,./real/1/256r.png,./scatter/1/256s.png,Octahedron,O_h,2.53631,0.570825,2.8254,0.207341,0.718569,C3
257,./real/1/257r.png,./scatter/1/257s.png,Octahedron,O_h,2.42717,-0.948369,-2.66819,0.582611,1.44025,C3
258,./real/1/258r.png,./scatter/1/258s.png,Truncated Icosahedron,I_h,1.34371,1.43757,1.90774,0.56637,1.73816,C3
259,./real/1/259r.png,./scatter/1/259s.png,Cube,O_h,2.07782,-0.595974,0.458835,0.89635,1.11564,C4
260,./real/1/260r.png,./scatter/1/260s.png,Potato,None,1.81485,1.90882,0.755135,0.517851,,
261,./real/1/261r.png,./scatter/1/261s.png,Dodecahedron,I_h,0.141909,3.0148,-0.57184,0.225123,1.89938,C3
262,./real/1/262r.png,./scatter/1/262s.png,Octahedron,O_h,2.67631,2.5761,0.539398,0.209553,0.772819,C4
263,./real/1/263r.png,./scatter/1/263s.png,Truncated Tetrahedron,T_d,1.63327,-1.48792,1.5426,0.753959,0.87263,C3
264,./real/1/264r.png,./scatter/1/264s.png,Icosidodecahedron,I_h,1.59458,-2.51578,2.55391,0.844802,1.18371,C2
265,./real/1/265r.png,./scatter/1/265s.png,Cuboctahedron,O_h,0.686091,1.44525,2.35415,0.89664,0.90927,C2
266,./real/1/266r.png,./scatter/1/266s.png,Truncated Tetrahedron,T_d,0.372634,-2.35521,-0.165879,0.820979,0.518258,C3
267,./real/1/267r.png,./scatter/1/267s.png,Decahedron,D_5h,0.891634,-2.07471,-1.82072,0.362183,0.531484,C2
268,./real/1/268r.png,./scatter/1/268s.png,Rhombicosidodecahedron,I_h,1.22561,0.808541,0.171393,0.740099,1.06588,C5
269,./real/1/269r.png,./scatter/1/269s.png,Truncated Dodecahedron,I_h,0.986688,-2.42714,-2.05581,0.899758,1.11141,C5
270,./real/1/270r.png,./scatter/1/270s.png,Snub Cube,O,2.36937,-1.70083,2.64902,0.739661,1.35197,C3
271,./real/1/271r.png,./scatter/1/271s.png,Truncated Cuboctahedron,O_h,1.7399,2.18229,-1.00682,0.738642,0.938306,C3
272,./real/1/272r.png,./scatter/1/272s.png,Rhombicosidodecahedron,I_h,2.38523,-3.01614,0.619335,0.386012,1.98978,C3
273,./real/1/273r.png,./scatter/1/273s.png,Rhombicuboctahedron,O_h,2.55849,-0.547023,2.70049,0.737556,1.35583,C4
274,./real/1/274r.png,./scatter/1/274s.png,Decahedron,D_5h,2.68704,2.0683,0.423305,0.971036,1.02983,C2
275,./real/1/275r.png,./scatter/1/275s.png,Truncated Twinned Tetrahedron,C_6,2.50579,-2.92619,-2.73986,0.996202,1.00381,C6
276,./real/1/276r.png,./scatter/1/276s.png,Truncated Dodecahedron,I_h,1.64499,1.24873,2.77807,0.263431,1.82111,C2
277,./real/1/277r.png,./scatter/1/277s.png,Icosidodecahedron,I_h,2.19138,-2.37226,-2.07552,0.582061,1.02961,C5
278,./real/1/278r.png,./scatter/1/278s.png,Truncated Cube,O_h,1.90415,2.6394,1.19918,0.259739,1.18856,C3
279,./real/1/279r.png,./scatter/1/279s.png,Cube,O_h,1.25372,2.92874,0.181604,0.252418,0.580004,C2
280,./real/1/280r.png,./scatter/1/280s.png,Rhombicuboctahedron,O_h,0.852817,3.05526,2.17987,0.370816,1.63015,C2
281,./real/1/281r.png,./scatter/1/281s.png,Snub Cube,O,0.445338,1.21184,2.18534,0.823335,1.21457,C2
282,./real/1/282r.png,./scatter/1/282s.png,Decahedron,D_5h,2.02334,-1.09752,-1.32574,0.302653,1.65877,C2
283,./real/1/283r.png,./scatter/1/283s.png,Potato,None,1.68052,-1.36759,-1.62581,0.871636,,
284,./real/1/284r.png,./scatter/1/284s.png,Truncated Icosahedron,I_h,0.820808,1.12551,-1.43624,0.714718,1.38674,C2
285,./real/1/285r.png,./scatter/1/285s.png,Truncated Rhombicosidodecahedron,I_h,2.20045,1.44786,0.503332,0.260998,1.10582,C5
286,./real/1/286r.png,./scatter/1/286s.png,Potato,None,1.144,-0.537596,2.60614,0.257785,,
287,./real/1/287r.png,./scatter/1/287s.png,Cuboctahedron,O_h,1.34487,-2.66848,-2.01336,0.361726,0.857821,C3
288,./real/1/288r.png,./scatter/1/288s.png,Dodecahedron,I_h,1.13293,0.55657,2.73732,0.457703,1.37474,C3
289,./real/1/289r.png,./scatter/1/289s.png,Icosahedron,I_h,1.54551,-1.56027,-1.09101,0.776022,0.636662,C2
290,./real/1/290r.png,./scatter/1/290s.png,Snub Cube,O,1.41229,0.270217,0.669886,0.574569,0.615588,C4
291,./real/1/291r.png,./scatter/1/291s.png,Truncated Icosahedron,I_h,2.84957,-2.10032,2.54681,0.59167,0.873378,C2
292,./real/1/292r.png,./scatter/1/292s.png,Snub Cube,O,2.68667,3.11449,-2.09034,0.742905,1.21399,C4
293,./real/1/293r.png,./scatter/1/293s.png,Rhombicuboctahedron,O_h,1.50505,-2.6092,2.86331,0.829078,0.972835,C4
294,./real/1/294r.png,./scatter/1/294s.png,Truncated Cube,O_h,2.03533,1.7015,1.80794,0.264658,1.25736,C2
295,./real/1/295r.png,./scatter/1/295s.png,Truncated Tetrahedron,T_d,1.39557,2.15235,0.426692,0.319916,1.23283,C2
296,./real/1/296r.png,./scatter/1/296s.png,Icosidodecahedron,I_h,2.48532,2.43277,-2.78197,0.207855,1.12919,C3
297,./real/1/297r.png,./scatter/1/297s.png,Rhombicosidodecahedron,I_h,1.81926,2.50491,1.33857,0.588803,1.69836,C3
298,./real/1/298r.png,./scatter/1/298s.png,Truncated Icosahedron,I_h,1.80231,-0.996108,-0.00652043,0.836787,1.19505,C5
299,./real/1/299r.png,./scatter/1/299s.png,Truncated Dodecahedron,I_h,1.25774,2.87364,-0.71798,0.35946,1.11555,C2
300,./real/1/300r.png,./scatter/1/300s.png,Truncated Twinned Tetrahedron,C_6,1.50213,1.86861,1.25618,0.833392,1.19992,C6
301,./real/1/301r.png,./scatter/1/301s.png,Truncated Octahedron,O_h,2.35838,-2.39514,1.66883,0.225444,1.83344,C3
302,./real/1/302r.png,./scatter/1/302s.png,Truncated Octahedron,O_h,2.21739,1.86276,2.89788,0.583814,1.30527,C2
303,./real/1/303r.png,./scatter/1/303s.png,Cube,O_h,2.35859,-1.36982,-2.87476,0.527444,0.978568,C4
304,./real/1/304r.png,./scatter/1/304s.png,Icosidodecahedron,I_h,0.879126,1.28096,2.37184,0.263179,0.815766,C5
305,./real/1/305r.png,./scatter/1/305s.png,Tetrahedron,T_d,2.36228,-0.104898,-1.36375,0.877814,0.705972,C2
306,./real/1/306r.png,./scatter/1/306s.png,Snub Cube,O,1.43776,1.39573,-2.08258,0.389302,1.68982,C2
307,./real/1/307r.png,./scatter/1/307s.png,Icosidodecahedron,I_h,1.08369,-0.0474935,2.07404,0.411797,1.37753,C5
308,./real/1/308r.png,./scatter/1/308s.png,Snub Cube,O,0.564887,-2.64977,2.04327,0.383022,0.794086,C3
309,./real/1/309r.png,./scatter/1/309s.png,Icosidodecahedron,I_h,2.27037,0.639068,-1.95959,0.473562,1.22286,C2
310,./real/1/310r.png,./scatter/1/310s.png,Icosahedron,I_h,2.22133,0.629103,2.19736,0.824961,0.889566,C5
311,./real/1/311r.png,./scatter/1/311s.png,Truncated Twinned Tetrahedron,C_6,1.01545,1.67621,-3.061,0.473955,1.89046,C6
312,./real/1/312r.png,./scatter/1/312s.png,Sphere,SO(3),0,0,0,0.415571,1.29339,{-0.628868,-0.407644,-0.662081}
313,./real/1/313r.png,./scatter/1/313s.png,Decahedron,D_5h,1.48279,1.73013,-2.24575,0.885744,0.751252,C5
314,./real/1/314r.png,./scatter/1/314s.png,Truncated Twinned Tetrahedron,C_6,2.25918,1.66778,2.43271,0.598774,0.921509,C2
315,./real/1/315r.png,./scatter/1/315s.png,Cube,O_h,1.35537,0.897425,0.810497,0.633462,1.57863,C3
316,./real/1/316r.png,./scatter/1/316s.png,Rhombicosidodecahedron,I_h,1.68868,0.731936,-2.22539,0.993832,0.739263,C2
317,./real/1/317r.png,./scatter/1/317s.png,Tetrahedron,T_d,1.11817,-2.51652,1.72293,0.320901,1.14927,C2
318,./real/1/318r.png,./scatter/1/318s.png,Truncated Icosahedron,I_h,2.11658,-0.751514,-2.52934,0.490703,1.92439,C2
319,./real/1/319r.png,./scatter/1/319s.png,Icosahedron,I_h,1.03287,-2.77334,-2.58593,0.682705,1.46476,C5
320,./real/1/320r.png,./scatter/1/320s.png,Snub Cube,O,1.50122,2.40205,3.02029,0.934631,0.984051,C2
321,./real/1/321r.png,./scatter/1/321s.png,Octahedron,O_h,1.27333,0.901738,-2.81872,0.962974,1.03845,C4
322,./real/1/322r.png,./scatter/1/322s.png,Dodecahedron,I_h,0.99424,0.106342,1.08884,0.559001,0.877088,C5
323,./real/1/323r.png,./scatter/1/323s.png,Truncated Tetrahedron,T_d,1.44783,2.57982,-1.70518,0.686383,1.45691,C2
324,./real/1/324r.png,./scatter/1/324s.png,Dodecahedron,I_h,1.88013,0.0991234,-2.10776,0.878186,0.537864,C2
325,./real/1/325r.png,./scatter/1/325s.png,Rhombicuboctahedron,O_h,1.62753,2.02721,2.98437,0.918178,1.08911,C3
326,./real/1/326r.png,./scatter/1/326s.png,Icosidodecahedron,I_h,1.32013,2.00905,-2.81926,0.935761,1.06865,C3
327,./real/1/327r.png,./scatter/1/327s.png,Truncated Cube,O_h,1.2383,-2.84986,-0.0398113,0.422091,1.23802,C4
328,./real/1/328r.png,./scatter/1/328s.png,Truncated Cuboctahedron,O_h,0.645837,2.85511,1.40093,0.303185,0.698724,C2
329,./real/1/329r.png,./scatter/1/329s.png,Tetrahedron,T_d,1.20721,-2.94231,-1.05378,0.677085,1.47692,C3
330,./real/1/330r.png,./scatter/1/330s.png,Truncated Rhombicosidodecahedron,I_h,2.05778,-2.00196,1.1293,0.740428,0.947431,C2
331,./real/1/331r.png,./scatter/1/331s.png,Snub Cube,O,1.4487,-3.08034,1.09917,0.497596,0.533797,C2
332,./real/1/332r.png,./scatter/1/332s.png,Truncated Cube,O_h,2.58634,2.90344,2.5106,0.613357,0.818158,C2
333,./real/1/333r.png,./scatter/1/333s.png,Truncated Dodecahedron,I_h,2.51257,0.700132,0.774379,0.23904,0.673939,C3
334,./real/1/334r.png,./scatter/1/334s.png,Icosidodecahedron,I_h,0.965956,2.1628,2.05915,0.666305,0.807759,C5
335,./real/1/335r.png,./scatter/1/335s.png,Rhombicuboctahedron,O_h,2.2912,-2.10757,0.330558,0.584476,1.00701,C3
336,./real/1/336r.png,./scatter/1/336s.png,Truncated Octahedron,O_h,0.343057,1.49886,2.59463,0.312474,1.31221,C3
337,./real/1/337r.png,./scatter/1/337s.png,Rhombicosidodecahedron,I_h,2.77411,2.11152,1.10619,0.679925,1.47075,C3
338,./real/1/338r.png,./scatter/1/338s.png,Potato,None,2.29283,2.52339,1.50293,0.327078,,
339,./real/1/339r.png,./scatter/1/339s.png,Sphere,SO(3),0,0,0,0.803149,1.2451,{-0.19257,0.350939,0.916383}
340,./real/1/340r.png,./scatter/1/340s.png,Snub Cube,O,1.66164,-0.877895,-0.369549,0.673678,1.48439,C3
341,./real/1/341r.png,./scatter/1/341s.png,Cuboctahedron,O_h,2.48116,2.64045,-0.996319,0.750073,1.3332,C2
342,./real/1/342r.png,./scatter/1/342s.png,Truncated Twinned Tetrahedron,C_6,0.290711,2.82226,0.448053,0.668088,1.49681,C6
343,./real/1/343r.png,./scatter/1/343s.png,Truncated Dodecahedron,I_h,2.04274,0.0786593,2.42008,0.316485,1.01635,C5
344,./real/1/344r.png,./scatter/1/344s.png,Icosidodecahedron,I_h,2.15738,-2.91401,-1.55873,0.296805,1.10826,C2
345,./real/1/345r.png,./scatter/1/345s.png,Octahedron,O_h,0.289526,-1.92348,2.0062,0.818898,1.22115,C2
346,./real/1/346r.png,./scatter/1/346s.png,Cuboctahedron,O_h,0.413283,-1.33217,3.12153,0.891148,1.12215,C2
347,./real/1/347r.png,./scatter/1/347s.png,Truncated Icosahedron,I_h,0.54081,-2.25614,2.13174,0.512903,0.887412,C2
348,./real/1/348r.png,./scatter/1/348s.png,Decahedron,D_5h,1.1229,1.17737,-1.52813,0.702173,1.42415,C2
349,./real/1/349r.png,./scatter/1/349s.png,Truncated Cuboctahedron,O_h,2.31222,0.146483,-1.13806,0.911162,1.0975,C2
350,./real/1/350r.png,./scatter/1/350s.png,Truncated Dodecahedron,I_h,1.81056,-2.35157,-1.53506,0.936149,1.06821,C5
351,./real/1/351r.png,./scatter/1/351s.png,Icosidodecahedron,I_h,0.743566,2.22131,-2.8112,0.712456,0.734438,C3
352,./real/1/352r.png,./scatter/1/352s.png,Icosahedron,I_h,2.16452,-0.618474,-1.75427,0.386565,1.32079,C3
353,./real/1/353r.png,./scatter/1/353s.png,Octahedron,O_h,0.826054,0.284569,-2.28518,0.238627,0.650577,C4
354,./real/1/354r.png,./scatter/1/354s.png,Truncated Rhombicosidodecahedron,I_h,1.86693,-0.907402,2.33128,0.240672,1.28566,C5
355,./real/1/355r.png,./scatter/1/355s.png,Truncated Cuboctahedron,O_h,0.698273,-0.624746,-0.948995,0.240961,0.736644,C2
356,./real/1/356r.png,./scatter/1/356s.png,Cuboctahedron,O_h,1.6747,-0.88291,-2.98044,0.670259,1.03967,C4
357,./real/1/357r.png,./scatter/1/357s.png,Cube,O_h,1.15468,-0.830697,-2.90663,0.562542,1.18931,C3
358,./real/1/358r.png,./scatter/1/358s.png,Snub Cube,O,0.925303,-2.20348,2.19019,0.889773,0.911723,C3
359,./real/1/359r.png,./scatter/1/359s.png,Truncated Cuboctahedron,O_h,0.374952,1.97626,-0.279234,0.607768,0.812588,C4
360,./real/1/360r.png,./scatter/1/360s.png,Cuboctahedron,O_h,1.46234,-3.05006,1.1569,0.976704,0.529847,C4
361,./real/1/361r.png,./scatter/1/361s.png,Cuboctahedron,O_h,2.46309,1.76777,-1.53578,0.729747,0.91769,C4
362,./real/1/362r.png,./scatter/1/362s.png,Rhombicosidodecahedron,I_h,0.473365,-1.71162,2.27738,0.529053,1.19761,C3
363,./real/1/363r.png,./scatter/1/363s.png,Decahedron,D_5h,2.60167,1.90841,2.89786,0.321602,1.81587,C5
364,./real/1/364r.png,./scatter/1/364s.png,Rhombicosidodecahedron,I_h,2.1936,-1.78705,-0.689429,0.850213,0.537463,C3
365,./real/1/365r.png,./scatter/1/365s.png,Snub Cube,O,0.886633,1.27854,-0.799813,0.7919,1.26279,C3
366,./real/1/366r.png,./scatter/1/366s.png,Cuboctahedron,O_h,0.957775,0.893785,-2.47235,0.474827,0.741878,C3
367,./real/1/367r.png,./scatter/1/367s.png,Sphere,SO(3),0,0,0,0.360943,1.86688,{-0.72946,0.126654,-0.672195}
368,./real/1/368r.png,./scatter/1/368s.png,Truncated Tetrahedron,T_d,2.04833,0.0432673,3.06198,0.305953,1.96772,C3
369,./real/1/369r.png,./scatter/1/369s.png,Tetrahedron,T_d,0.921328,1.83475,-0.195266,0.374602,1.30408,C3
370,./real/1/370r.png,./scatter/1/370s.png,Octahedron,O_h,2.25962,0.467558,-2.04965,0.29855,0.792503,C2
371,./real/1/371r.png,./scatter/1/371s.png,Tetrahedron,T_d,1.69031,0.156618,1.57225,0.479451,1.57291,C3
372,./real/1/372r.png,./scatter/1/372s.png,Snub Cube,O,0.819043,-0.385695,1.95509,0.923014,1.06802,C3
373,./real/1/373r.png,./scatter/1/373s.png,Dodecahedron,I_h,2.60503,2.07268,-0.399453,0.945903,1.05719,C3
374,./real/1/374r.png,./scatter/1/374s.png,Truncated Octahedron,O_h,1.35842,-0.137364,3.0452,0.858721,1.16452,C3
375,./real/1/375r.png,./scatter/1/375s.png,Truncated Rhombicosidodecahedron,I_h,1.75074,0.931698,2.59338,0.272524,1.23198,C2
376,./real/1/376r.png,./scatter/1/376s.png,Truncated Cube,O_h,1.20128,1.90787,-1.95508,0.872067,1.1467,C3
377,./real/1/377r.png,./scatter/1/377s.png,Truncated Dodecahedron,I_h,2.36909,0.125178,1.42189,0.954986,0.818362,C2
378,./real/1/378r.png,./scatter/1/378s.png,Truncated Cube,O_h,2.25343,0.824465,1.54037,0.381145,1.66473,C2
379,./real/1/379r.png,./scatter/1/379s.png,Rhombicuboctahedron,O_h,1.97085,-2.17271,-0.655635,0.897877,1.11374,C4
380,./real/1/380r.png,./scatter/1/380s.png,Cuboctahedron,O_h,1.75921,-2.638,-2.87709,0.454065,0.782243,C4
381,./real/1/381r.png,./scatter/1/381s.png,Decahedron,D_5h,0.968293,1.03785,2.92772,0.203884,0.511289,C2
382,./real/1/382r.png,./scatter/1/382s.png,Sphere,SO(3),0,0,0,0.790242,1.26544,{-0.885127,-0.0646953,-0.460831}
383,./real/1/383r.png,./scatter/1/383s.png,Truncated Cube,O_h,0.587124,1.44538,2.61124,0.473088,1.00759,C2
384,./real/1/384r.png,./scatter/1/384s.png,Cube,O_h,2.73471,3.06053,-1.87711,0.469475,1.48388,C2
385,./real/1/385r.png,./scatter/1/385s.png,Cube,O_h,2.75877,-2.33405,1.18879,0.469656,0.60819,C2
386,./real/1/386r.png,./scatter/1/386s.png,Truncated Cube,O_h,1.31342,-1.62128,-1.22549,0.903393,1.10694,C4
387,./real/1/387r.png,./scatter/1/387s.png,Truncated Cube,O_h,1.83594,-2.26777,2.04551,0.804717,0.70664,C3
388,./real/1/388r.png,./scatter/1/388s.png,Truncated Twinned Tetrahedron,C_6,2.77277,-2.056,-2.4695,0.269658,1.32993,C6
389,./real/1/389r.png,./scatter/1/389s.png,Icosahedron,I_h,1.969,2.78447,1.93439,0.52656,1.57504,C2
390,./real/1/390r.png,./scatter/1/390s.png,Sphere,SO(3),0,0,0,0.98169,1.01865,{-0.456993,-0.231627,-0.858782}
391,./real/1/391r.png,./scatter/1/391s.png,Rhombicuboctahedron,O_h,2.27078,-2.76674,1.17822,0.458024,1.09395,C2
392,./real/1/392r.png,./scatter/1/392s.png,Truncated Icosahedron,I_h,1.46188,-0.545394,-0.849288,0.4001,1.74239,C5
393,./real/1/393r.png,./scatter/1/393s.png,Truncated Cuboctahedron,O_h,0.357039,-2.93697,0.375895,0.600622,0.894709,C4
394,./real/1/394r.png,./scatter/1/394s.png,Rhombicuboctahedron,O_h,2.71814,-1.39624,0.765359,0.333899,1.96747,C2
395,./real/1/395r.png,./scatter/1/395s.png,Icosidodecahedron,I_h,1.88405,0.643518,-2.52646,0.263028,1.84888,C5
396,./real/1/396r.png,./scatter/1/396s.png,Rhombicuboctahedron,O_h,2.17001,-1.18959,1.27057,0.252525,1.61378,C3
397,./real/1/397r.png,./scatter/1/397s.png,Rhombicuboctahedron,O_h,1.31854,-2.25773,-0.463887,0.233632,1.48919,C3
398,./real/1/398r.png,./scatter/1/398s.png,Tetrahedron,T_d,2.15426,-2.88488,-1.01701,0.886054,0.926112,C3
399,./real/1/399r.png,./scatter/1/399s.png,Cuboctahedron,O_h,1.00693,2.93037,2.83112,0.76446,1.30811,C4
400,./real/1/400r.png,./scatter/1/400s.png,Truncated Octahedron,O_h,2.41603,-2.49804,-0.501519,0.948249,1.05458,C4
401,./real/1/401r.png,./scatter/1/401s.png,Truncated Cube,O_h,2.09743,1.51567,1.56729,0.918385,1.08887,C2
402,./real/1/402r.png,./scatter/1/402s.png,Cube,O_h,1.7412,2.67694,0.0358301,0.813756,0.925971,C4
403,./real/1/403r.png,./scatter/1/403s.png,Rhombicosidodecahedron,I_h,2.71037,-2.19908,2.15669,0.987359,1.0128,C2
404,./real/1/404r.png,./scatter/1/404s.png,Potato,None,2.31364,-0.171068,-1.09745,0.369644,,
405,./real/1/405r.png,./scatter/1/405s.png,Truncated Cube,O_h,1.63446,1.31024,-0.0144932,0.214871,1.40905,C4
406,./real/1/406r.png,./scatter/1/406s.png,Cube,O_h,0.860906,-0.806741,-1.46331,0.22022,1.61865,C2
407,./real/1/407r.png,./scatter/1/407s.png,Truncated Twinned Tetrahedron,C_6,2.75201,2.5322,-2.37648,0.329601,1.74254,C2
408,./real/1/408r.png,./scatter/1/408s.png,Cuboctahedron,O_h,0.916756,-1.22766,0.987385,0.342586,1.58657,C2
409,./real/1/409r.png,./scatter/1/409s.png,Potato,None,1.40644,-0.684045,-0.831782,0.356055,,
410,./real/1/410r.png,./scatter/1/410s.png,Icosidodecahedron,I_h,1.3902,2.83176,3.00967,0.537274,1.07935,C5
411,./real/1/411r.png,./scatter/1/411s.png,Truncated Dodecahedron,I_h,1.60182,-2.18157,0.814302,0.756136,1.32251,C2
412,./real/1/412r.png,./scatter/1/412s.png,Dodecahedron,I_h,1.1065,2.05428,0.30723,0.875097,0.812093,C5
413,./real/1/413r.png,./scatter/1/413s.png,Sphere,SO(3),0,0,0,0.521097,0.764167,{-0.442037,-0.803413,-0.398912}
414,./real/1/414r.png,./scatter/1/414s.png,Truncated Cube,O_h,1.76069,2.62483,-2.30627,0.731524,1.35222,C4
415,./real/1/415r.png,./scatter/1/415s.png,Truncated Tetrahedron,T_d,1.66657,0.335328,0.586793,0.831808,1.18819,C2
416,./real/1/416r.png,./scatter/1/416s.png,Dodecahedron,I_h,2.26125,2.07573,1.53827,0.20311,1.09227,C2
417,./real/1/417r.png,./scatter/1/417s.png,Dodecahedron,I_h,2.01261,2.62589,0.927672,0.668383,1.49615,C5
418,./real/1/418r.png,./scatter/1/418s.png,Decahedron,D_5h,0.842175,-0.355488,2.16764,0.422991,1.66697,C5
419,./real/1/419r.png,./scatter/1/419s.png,Truncated Octahedron,O_h,1.67147,0.897313,0.591492,0.569427,1.08593,C2
420,./real/1/420r.png,./scatter/1/420s.png,Tetrahedron,T_d,2.58382,1.61136,1.24107,0.212102,1.80101,C3
421,./real/1/421r.png,./scatter/1/421s.png,Decahedron,D_5h,1.87131,-2.998,3.13325,0.798063,1.05945,C2
